Time,X(CH1)
Second,Volt
-3.00E-02,-2.40E-02
-2.99E-02,0.00E+00
-2.98E-02,-8.00E-03
-2.97E-02,1.60E-02
-2.96E-02,0.00E+00
-2.95E-02,-3.20E-02
-2.94E-02,-4.00E-02
-2.93E-02,-9.60E-02
-2.92E-02,-1.20E-01
-2.91E-02,-1.76E-01
-2.90E-02,-1.76E-01
-2.89E-02,-2.08E-01
-2.88E-02,-2.08E-01
-2.87E-02,-1.44E-01
-2.86E-02,-1.36E-01
-2.85E-02,-3.20E-02
-2.84E-02,-8.00E-03
-2.83E-02,8.80E-02
-2.82E-02,9.60E-02
-2.81E-02,1.28E-01
-2.80E-02,1.28E-01
-2.79E-02,1.52E-01
-2.78E-02,1.44E-01
-2.77E-02,1.28E-01
-2.76E-02,1.44E-01
-2.75E-02,1.52E-01
-2.74E-02,1.44E-01
-2.73E-02,1.44E-01
-2.72E-02,1.44E-01
-2.71E-02,1.04E-01
-2.70E-02,9.60E-02
-2.69E-02,1.12E-01
-2.68E-02,1.04E-01
-2.67E-02,5.60E-02
-2.66E-02,4.80E-02
-2.65E-02,4.00E-02
-2.64E-02,4.00E-02
-2.63E-02,1.60E-02
-2.62E-02,1.60E-02
-2.61E-02,3.20E-02
-2.60E-02,1.60E-02
-2.59E-02,-2.40E-02
-2.58E-02,0.00E+00
-2.57E-02,-4.00E-02
-2.56E-02,-5.60E-02
-2.55E-02,-9.60E-02
-2.54E-02,-8.00E-02
-2.53E-02,-1.36E-01
-2.52E-02,-1.60E-01
-2.51E-02,-1.28E-01
-2.50E-02,-1.28E-01
-2.49E-02,-1.20E-01
-2.48E-02,-1.28E-01
-2.47E-02,-8.00E-02
-2.46E-02,-7.20E-02
-2.45E-02,8.00E-03
-2.44E-02,8.00E-03
-2.43E-02,8.00E-02
-2.42E-02,8.80E-02
-2.41E-02,1.36E-01
-2.40E-02,1.36E-01
-2.39E-02,1.84E-01
-2.38E-02,1.92E-01
-2.37E-02,1.68E-01
-2.36E-02,1.68E-01
-2.35E-02,1.44E-01
-2.34E-02,1.44E-01
-2.33E-02,7.20E-02
-2.32E-02,7.20E-02
-2.31E-02,4.80E-02
-2.30E-02,4.00E-02
-2.29E-02,-8.00E-03
-2.28E-02,0.00E+00
-2.27E-02,-4.80E-02
-2.26E-02,-7.20E-02
-2.25E-02,-4.80E-02
-2.24E-02,-3.20E-02
-2.23E-02,-5.60E-02
-2.22E-02,-4.80E-02
-2.21E-02,-8.00E-03
-2.20E-02,-2.40E-02
-2.19E-02,8.00E-03
-2.18E-02,8.00E-03
-2.17E-02,-2.40E-02
-2.16E-02,0.00E+00
-2.15E-02,-3.20E-02
-2.14E-02,-3.20E-02
-2.13E-02,-9.60E-02
-2.12E-02,-9.60E-02
-2.11E-02,-1.60E-01
-2.10E-02,-1.60E-01
-2.09E-02,-1.68E-01
-2.08E-02,-1.60E-01
-2.07E-02,-9.60E-02
-2.06E-02,-1.04E-01
-2.05E-02,2.40E-02
-2.04E-02,4.00E-02
-2.03E-02,1.04E-01
-2.02E-02,1.04E-01
-2.01E-02,1.44E-01
-2.00E-02,1.44E-01
-1.99E-02,1.52E-01
-1.98E-02,1.44E-01
-1.97E-02,1.04E-01
-1.96E-02,1.04E-01
-1.95E-02,8.80E-02
-1.94E-02,8.80E-02
-1.93E-02,8.00E-02
-1.92E-02,8.00E-02
-1.91E-02,5.60E-02
-1.90E-02,4.80E-02
-1.89E-02,2.40E-02
-1.88E-02,4.00E-02
-1.87E-02,2.40E-02
-1.86E-02,2.40E-02
-1.85E-02,0.00E+00
-1.84E-02,-2.40E-02
-1.83E-02,-5.60E-02
-1.82E-02,-4.00E-02
